HEIGHT,DIAMETER,ELEVATION,CANOPYHEIGHT
4,3.5,1030,16.1
5.7,7.8,1030,16.1
15.3,24.6,1030,15.3
4.5,6.5,1030,16.1
5.1,5,1030,16.1
2,1.7,1030,16.1
7.1,10.3,1030,11.6
8.5,13.8,1030,11.2
2.5,2.3,1030,15.3
2.8,4,1030,15.3
2.2,1.7,1030,15.3
1.8,1.2,1030,15.3
3.6,3.9,1030,15.3
2.8,2.7,1030,15.3
1.4,0.8,1030,15.3
5.2,8.1,1030,7.8
2.6,1.8,1030,12
4.6,6.1,1030,15.3
6.8,9.9,1030,11.2
2,1.2,1030,11.6
2.3,1.2,1030,15.3
5.7,8.7,1030,12
5.8,8.6,1030,10.9
7.2,10.9,1030,12
7.7,14.5,1030,10.9
8.3,10.6,1030,10.9
6.9,10.9,1030,12
4.3,5.4,1030,10.9
5.3,9,1030,14.1
6.2,10.8,1030,14.1
6.6,9.5,1030,13.6
6,7.3,1030,14.1
4.9,6,1030,14.1
4.3,5.7,1030,14.1
5.8,8,1030,14.1
4.9,7.4,1030,10.9
4.1,5.8,1030,10.9
5.3,7,1030,10.9
4.4,6.4,1030,12
11,18.5,1030,11.3
12,20.8,1030,12
14.7,27.5,1030,14.7
7.8,10.8,1030,12
10.4,12.5,1030,11.3
10,13.9,1030,10.4
10.4,13.1,1030,14.7
11.3,19.1,1030,11.3
9.2,17.2,1030,10.4
9.7,13.1,1030,14.7
10.1,12.8,1030,14.7
8.7,8.1,1030,12
7.4,11.1,1030,11.3
9,9.3,1030,14.7
10,13.2,1030,14.7
8.9,15.5,1030,10.4
10.7,16.4,1030,14.7
4,5.7,1030,11.3
13.6,19.7,1017,17
17,20.7,1017,17
5.6,9.3,1017,6.5
6.1,7.8,1017,14
4.7,5.1,1017,13.6
5.3,7,1017,6.5
5,6.2,1017,11.2
4.4,5.1,1017,11.2
6.8,6.6,1017,14
4.5,6.2,1017,12
5,5.8,1017,12
4.6,7.3,1017,12
4.4,5.1,1017,13.6
4.6,5.3,1017,17
4.9,5.5,1017,17
4.9,5.6,1017,17
4.4,5.8,1017,17
6.5,8.6,1017,17
5,6.1,1017,17
10.4,12.7,1017,19.94501094
7.4,11.2,1017,10.4
8.7,11.7,1017,19.94501094
7.2,10.3,1017,13
8.1,13.5,1017,13
15.9,21.4,1017,19.94501094
19.94501094,21.5,1017,19.94501094
5.4,8.3,1017,10.1
4.8,6.4,1017,19.94501094
4.1,5.1,1017,13
3.4,5.1,1017,19.94501094
4.7,5.9,1017,19.94501094
9.7,9.9,1017,13.6
9.5,14.2,1017,14.6
7.4,12.6,1017,16.985
8.6,14.4,1017,12.7
16.985,32.9,1017,16.985
8.6,9.1,1017,14.6
6.3,11.6,1017,16.985
7.9,9.8,1017,14.6
9.3,12.5,1017,14.6
1.1,4.6,1017,14.6
2.3,1.4,1017,19.94501094
3,3.2,1017,19.94501094
4.6,4.9,1017,12.7
1.8,1.3,1017,19.94501094
2.9,3.3,1017,14.6
1.5,0.7,1017,14.6
3.5,5.1,1017,19.94501094
1.7,2.2,1017,14.6
2.1,1.9,1017,16.985
1.8,1.8,1017,16.985
2.4,2,1017,16.985
4.5,7,1017,13.6
8.8,11,1017,14
7.1,8.6,1017,13.6
4.5,6.3,1017,13.6
8.6,11.5,1017,14
10.1,15.3,1017,13.6
5.4,8.7,1017,13.6
11.2,18.4,1017,11.6
9.4,20,1017,11.6
6.8,7.1,1017,12.7
11.3,19.7,1017,12.7
3,2.6,1025,15
2.5,1.4,1025,13.6
1.5,0.8,1025,15
1.6,1.4,1025,15
15,20.2,1025,15
1.3,0.5,1025,14.1
1.4,0.7,1025,15
1.9,1.2,1025,15
3,3.1,1025,15
3.2,3.7,1025,15
1.6,1.3,1025,15
1.7,1.3,1025,15
2.1,2,1025,15
2.9,3.3,1025,15
2.2,1.4,1025,15
2,1.3,1025,15
2.1,1.5,1025,15
4.2,4.9,1025,15
3.4,3.6,1025,15
2.4,2.8,1025,15
1.8,1.2,1025,15
1.6,1.5,1025,15
2.6,2.5,1025,13.6
2.4,2.5,1025,13.6
2.6,3.8,1025,13.6
2.6,2.8,1025,13.6
3,3.1,1025,13.6
2.2,1.9,1025,14.1
2,1.8,1025,11.5
3.6,3.7,1025,11.5
2.7,2.9,1025,14.1
3.4,4.7,1025,14.1
1.8,1.1,1025,14.1
3.4,5.2,1025,14.1
1.7,0.9,1025,15
2.6,2.5,1025,14.1
13.6,13.1,1025,15
3,4.6,1025,15
1.6,0.5,1025,15
3.5,5,1025,15
1.7,1.3,1025,15
1.5,1.2,1025,15
2.5,1.8,1025,15
2.3,2.3,1025,13.6
2.9,3.5,1025,15
1.9,1.6,1025,13.6
4,5.1,1025,6.1
2.5,2.2,1025,6.1
2.5,2.6,1025,13.6
5.4,7,1025,13.6
1.7,1.2,1025,13.6
2.1,2.1,1025,13.6
